#{"t_start": 1669995092.000832, "env_id": null}
r,l,t
0.013401,285,1294.747569
0,41,1295.279658
0.006974,1001,1302.850744
0.095399,863,1307.443048
0,162,1308.585942
0,375,1310.739796
0.029451,341,1312.775253
0,752,1316.803527
0,324,1318.779155
0,61,1319.380151
0.053606,133,1320.350808
0,551,1323.507218
0,1001,1330.89534
0.039392,1001,1336.195815
0.028142,437,1338.72234
0.207434,854,1343.411212
0.031842,1001,1348.724223
0.022791,277,1352.735608
0.036298,313,1354.567529
0.003378,1001,1359.923934
0.01371,231,1361.372678
0.017249,183,1362.610112
0.024837,765,1366.712833
0.003107,779,1370.916677
0.008317,385,1373.202478
0.012278,716,1379.447243
0,980,1384.692565
0.084508,1001,1390.031143
0.017643,198,1391.313617
0.051604,713,1395.230055
0.021008,742,1401.680331
0.276411,1001,1406.82177
0.004241,880,1411.486308
0.000264,184,1412.686942
0.01841,196,1413.976002
0.438472,688,1417.685066
0.026069,284,1419.431066
0,305,1421.255332
0,423,1423.724151
0.123525,215,1427.412962
0.002183,170,1428.62414
0.00037,466,1431.257107
0.137417,1001,1436.551617
0.045203,329,1438.489998
0.038648,878,1443.277043
0.036006,364,1445.469677
0,786,1452.083212
0,102,1452.819588
0,269,1454.48863
0,538,1457.519475
0.1449,1001,1462.788846
0.788051,1001,1468.193377
0.017378,716,1472.257252
0.014812,684,1478.632052
0.035576,1001,1484.439532
0.042207,413,1487.061216
0.011709,309,1489.014883
0.027812,229,1490.501784
0.014174,1001,1495.956218
0.042552,1001,1503.845818
0,874,1508.443779
0.007108,925,1513.4069
0.025853,588,1516.639097
0.119316,650,1520.242554
0.089463,602,1523.605548
0.128258,91,1524.37969
0.085626,1001,1531.861603
0.014418,1001,1537.035358
0.006925,405,1539.402187
0.005393,90,1540.153414
0.079005,1001,1545.632623
0.060659,75,1546.322083
0.043943,585,1549.527959
0.112335,580,1555.007151
0.001389,137,1556.002518
0.055064,284,1557.719273
0.011202,158,1558.847998
0.092421,552,1561.859907
0,480,1564.594217
0.111768,883,1569.378766
0.016508,189,1570.631292
0.152657,881,1575.367811
0,493,1580.366661
0.082469,508,1583.234573
0.055734,604,1586.610837
0.010423,186,1587.84007
0.003255,1001,1593.269172
0.00087,191,1594.609223
0.008038,599,1597.968148
0.009195,783,1604.571201
0.019583,1001,1609.960908
0.367671,175,1611.175141
0.017046,395,1613.48361
0.001172,395,1615.818049
0.099699,428,1618.291058
0.028346,1001,1623.742424
0.187948,535,1626.783826
0.158396,295,1630.878801
0.073115,452,1633.419337
0.177428,1001,1638.689345
0.040161,266,1640.320442
0.380324,379,1642.488718
0.442428,1001,1647.807878
0.026885,292,1649.631221
0.010301,696,1655.804665
0,1001,1661.118596
0.034945,737,1665.094638
0.134391,417,1667.481659
0.123018,190,1668.757292
0.011451,273,1670.426975
0.046451,1001,1675.750135
0.069389,139,1676.790137
0.17842,330,1681.025366
0.155993,98,1681.831891
0.087551,300,1683.610566
0.003518,540,1686.554142
0.012633,348,1688.586477
0.071542,1001,1694.00754
0.134936,446,1696.579971
0.028093,565,1699.750276
0.374906,705,1705.786311
0.036555,1001,1711.074155
0.00886,139,1712.091286
0.105624,286,1713.806258
0.070659,821,1718.285336
0.320748,1001,1723.627415
0.192705,380,1725.855924
0.018457,377,1730.577562
0.005636,403,1732.862243
0.018937,1001,1738.212204
0.198421,424,1740.69066
0.029643,1001,1746.15376
0,322,1748.078298
0.075481,1001,1755.851654
0.035792,190,1757.110248
0.105407,441,1759.736554
0.347251,430,1762.247868
0.248849,878,1767.063277
0.086523,402,1769.464178
0.059036,230,1770.889472
0.134456,687,1774.521855
0.003611,447,1777.011253
0.038392,207,1778.318879
0.130731,1001,1785.828714
0.103805,336,1787.733001
0.002187,485,1790.40317
0.040385,1001,1795.583007
0.130035,1001,1800.721866
0.014383,669,1806.807219
0.009123,140,1807.838582
0.099137,135,1809.077523
0.108928,146,1810.24939
0.146748,1001,1815.605664
0.112715,740,1819.590379
0.243868,663,1823.225684
0.090577,1001,1830.89877
0.206494,1001,1836.101348
